# Name of Moon, Name of Planet, Diameter (km)
Moon,Earth,1737.1
Phobos,Mars,11.1
Deimos,Mars,6.2
Io,Jupiter,1818.1
Europa,Jupiter,1560.7
Ganymede,Jupiter,2634.1
Callisto,Jupiter,2408.4
Amalthea,Jupiter,83.5
Himalia,Jupiter,67.0
Elara,Jupiter,43.0
Pasiphae,Jupiter,30.0
Sinope,Jupiter,19.0
Lysithea,Jupiter,18.0
Carme,Jupiter,23.0
Ananke,Jupiter,14.0
Leda,Jupiter,10.0
Thebe,Jupiter,49.3
Adrastea,Jupiter,8.2
Metis,Jupiter,21.5
Callirrhoe,Jupiter,4.3
Themisto,Jupiter,4.0
Megaclite,Jupiter,2.7
Taygete,Jupiter,2.5
Chaldene,Jupiter,1.9
Harpalyke,Jupiter,2.2
Kalyke,Jupiter,2.6
Iocaste,Jupiter,2.6
Erinome,Jupiter,1.6
Isonoe,Jupiter,1.9
Praxidike,Jupiter,3.4
Autonoe,Jupiter,2.0
Thyone,Jupiter,2.0
Hermippe,Jupiter,2.0
Aitne,Jupiter,1.5
Eurydome,Jupiter,1.5
Euanthe,Jupiter,1.5
Euporie,Jupiter,1.0
Orthosie,Jupiter,1.0
Sponde,Jupiter,1.0
Kale,Jupiter,1.0
Pasithee,Jupiter,1.0
Hegemone,Jupiter,1.5
Mneme,Jupiter,1.0
Aoede,Jupiter,2.0
Thelxinoe,Jupiter,1.0
Arche,Jupiter,1.5
Kallichore,Jupiter,1.0
Helike,Jupiter,2.0
Carpo,Jupiter,1.5
Eukelade,Jupiter,2.0
Cyllene,Jupiter,1.0
Kore,Jupiter,1.0
Herse,Jupiter,1.0
S/2010 J 1,Jupiter,1.0
S/2010 J 2,Jupiter,0.5
Dia,Jupiter,2.0
S/2016 J 1,Jupiter,3.0
S/2003 J 18,Jupiter,1.0
S/2011 J 2,Jupiter,0.5
Eirene,Jupiter,2.0
Philophrosyne,Jupiter,1.0
S/2017 J 1,Jupiter,2.0
Eupheme,Jupiter,1.0
S/2003 J 19,Jupiter,1.0
Valetudo,Jupiter,0.5
S/2017 J 2,Jupiter,1.0
S/2017 J 3,Jupiter,1.0
Pandia,Jupiter,1.0
S/2017 J 5,Jupiter,1.0
S/2017 J 6,Jupiter,1.0
S/2017 J 7,Jupiter,1.0
S/2017 J 8,Jupiter,0.5
S/2017 J 9,Jupiter,1.0
Ersa,Jupiter,1.0
S/2011 J 1,Jupiter,0.5
