# Date:     2020-05-01 19:11:57
# Database: ocvs
# Target:   lmc_cepheids
# Query:    (mode='F') 
# Objects:  2477
# Columns:
# ID	Mode	RA	Decl	I	P_1	dP_1
OGLE-LMC-CEP-0002	F	04:31:47.05	-69:49:09.5	15.691	3.1181490	0.0000109
OGLE-LMC-CEP-0005	F	04:35:31.52	-69:44:05.8	14.651	5.6119491	0.0000135
OGLE-LMC-CEP-0012	F	04:37:48.74	-67:12:51.9	15.474	2.6601839	0.0000023
OGLE-LMC-CEP-0016	F	04:38:32.53	-67:38:46.8	13.777	10.5642749	0.0013884
OGLE-LMC-CEP-0017	F	04:38:56.83	-69:41:18.3	15.237	3.6772904	0.0000061
OGLE-LMC-CEP-0018	F	04:38:58.98	-68:57:24.8	15.181	4.0478369	0.0000185
OGLE-LMC-CEP-0021	F	04:39:30.98	-69:15:42.6	14.709	5.4579579	0.0000170
OGLE-LMC-CEP-0023	F	04:40:47.48	-68:59:08.4	16.315	1.7018187	0.0000034
OGLE-LMC-CEP-0025	F	04:40:54.37	-69:06:54.3	15.338	3.7334902	0.0000089
OGLE-LMC-CEP-0026	F	04:41:12.24	-68:47:59.1	15.497	2.5706724	0.0000035
OGLE-LMC-CEP-0027	F	04:41:19.48	-67:20:08.1	15.037	3.5229124	0.0000050
OGLE-LMC-CEP-0028	F	04:41:26.93	-69:37:54.3	16.617	1.2629537	0.0000009
OGLE-LMC-CEP-0033	F	04:41:57.93	-69:26:00.8	14.386	7.1807603	0.0000289
OGLE-LMC-CEP-0034	F	04:42:01.91	-70:38:49.0	13.751	11.2552749	0.0000646
OGLE-LMC-CEP-0035	F	04:42:06.31	-67:58:11.6	14.376	6.9435423	0.0000256
OGLE-LMC-CEP-0037	F	04:42:14.88	-68:26:10.6	15.512	3.0669100	0.0000094
OGLE-LMC-CEP-0039	F	04:42:38.01	-68:30:59.3	15.395	3.1477882	0.0000075
OGLE-LMC-CEP-0040	F	04:42:47.26	-69:49:00.5	14.670	5.1651068	0.0000088
OGLE-LMC-CEP-0041	F	04:42:53.74	-67:25:59.8	15.530	2.9106644	0.0000173
OGLE-LMC-CEP-0042	F	04:43:01.62	-70:10:01.6	15.667	2.5770257	0.0000037
OGLE-LMC-CEP-0044	F	04:43:10.48	-67:14:00.9	14.925	4.0357552	0.0000075
OGLE-LMC-CEP-0045	F	04:43:10.74	-67:16:58.0	16.146	1.8669280	0.0000027
OGLE-LMC-CEP-0046	F	04:43:20.86	-69:13:47.9	13.948	8.8436041	0.0000500
