# mangaid,objra,objdec,redshift
1,133.3711,57.598427,0.039515216
2,133.68567,57.48025,0.041055806
3,136.01717,57.09233,0.04657103
4,133.98996,57.677967,0.01435065
5,136.75137,57.451435,0.046406217
6,133.33003,57.041157,0.025901696
7,134.19392,56.786747,0.025738737
8,132.46565,57.143726,0.03973351
9,132.91277,57.10742,0.025825359
10,134.59149,57.684967,0.040748116
11,134.91046,56.878895,0.031067824
12,137.04114,57.42361,0.11937139
13,132.65399,57.35967,0.026280478
14,134.00812,57.390965,0.040949486
15,136.62372,56.796394,0.06758024
16,133.8781,57.564545,0.04038275
17,135.8182,56.625385,0.080762535
18,230.50746,43.53234,0.02076579
19,231.3607,43.169895,0.057836372
20,229.52557,42.745842,0.04078457
21,232.46106,42.628967,0.018976375
22,230.15302,41.960438,0.06477709
23,231.0426,42.06872,0.018978873
24,231.9911,42.971207,0.019125042
25,230.57437,42.28702,0.018201659
26,230.59834,43.367775,0.110774934
27,232.16734,43.022682,0.27818364
28,231.47876,41.90977,0.022893524
29,231.57732,41.294632,0.031179553
30,231.6067,42.354027,0.028169995
31,230.23367,42.775543,0.018577531
32,232.15807,42.442017,0.07529068
33,229.24684,42.59826,0.040759634
34,232.01387,42.81367,0.09186329
35,204.57951,26.198425,0.06204085
36,205.07481,26.349564,0.028650256
37,206.47067,26.775156,0.030070769
38,205.4384,27.004753,0.029198892
39,205.60925,26.536871,0.07650187
40,205.53998,27.570374,0.029115448
41,205.04477,26.841042,0.032139394
42,203.94354,26.101791,0.06733705
43,205.00798,26.978899,0.027911745
44,205.24333,27.726276,0.028866656
45,204.58629,26.759743,0.030778322
46,203.78377,25.495441,0.02693839
47,204.51286,26.338213,0.026754113
48,204.50916,26.891176,0.027954454
49,204.69273,26.49877,0.02968855
50,204.88484,27.107147,0.03263772
51,204.88452,26.777542,0.02934271
52,318.02643,11.345158,0.01699899
53,317.9435,9.277494,0.039755672
54,316.9643,11.262318,0.07177921
55,319.35376,10.231621,0.043354005
56,318.99045,9.543076,0.029550342
57,317.5022,11.510648,0.017077371
58,317.43005,11.355241,0.017211845
59,317.91827,9.345652,0.13659108
60,317.9032,11.496943,0.0296133
61,319.11343,10.76762,0.07058185
62,319.23395,9.637575,0.07123549
63,316.54156,10.34542,0.017493663
64,318.82773,10.496811,0.12963654
65,317.38873,11.502923,0.135307
66,319.19308,11.043741,0.08095075
67,316.63965,10.751223,0.028449886
68,317.37476,10.051944,0.041144736
69,256.87408,35.92429,0.03666871
70,256.69376,35.658184,0.023721322
